Headline
"BBC Home - Breaking News, World News, US News, Sports, Business, Innovation, Climate, Culture, Travel, Video & Audio"
British Broadcasting Corporation
Trump's sweeping new tariffs take effect against dozens of countries
The secret system Hamas uses to pay government salaries
"Trump and Putin to meet in coming days, Kremlin aide says"
Rayner asks China to explain blanked-out embassy plans
"Verifying Israeli strikes in Lebanon, and assessing calls to scrap the two-child cap"
"People returned to live in Pompeii's ruins, archaeologists say"
From heatwaves to floods: Extreme weather sweeps across Asia
Only from the BBC
How Europe is vying for rare earth independence from China
The flood warnings that save lives
Global News Podcast
Trump orders India tariff hike to 50% for buying Russian oil
More news
India has 20 days to avoid 50% Trump tariffs - what are its options?
"Famous croc wrangler urged friends to 'torch' evidence, trial hears"
'It's scary': Childcare abuse cases panic Australian parents
How a cartoon skull became a symbol of defiance in Indonesia
Myanmar's figurehead president dies after long illness
Payout for mother wrongfully jailed over babies' deaths 'inadequate' - lawyer
Must watch
Do you need to drink electrolytes to stay hydrated?
Hazy skies seen over US cities as wildfires rage in Canada
Deadly wildfire spreads in southern France
What happened at Hiroshima?
Hiroshima: Ceremony marks 80th anniversary of atomic bombing
NHL mascot Buoy chased by bear in Alaska
The band photo that kick-started the social web
Towering tornado spirals over Inner Mongolia
Earth
The face-clawing bear that scares tigers
Culture
The divisive afterlife of an iconic WW2 poster
US & Canada news
"'Fake nurse' arrested in Florida after seeing more than 4,000 patients"
United Airlines passengers in US delayed after tech glitch halts flights
Nasa astronaut Butch Wilmore retires after nine months in space
See the Trump tariffs list by country
More world news
"Two Ghanaian ministers die in helicopter crash, along with six others"
"Twenty killed after trucks overturn in Gaza, Hamas-run civil defence says"
'A grave sin': Hezbollah dismisses Lebanon's move to restrict arms
"Nigeria seizes 1,600 birds in 'largest' wildlife-trafficking bust"
Sport
Al-Hilal agree £46m deal for Liverpool's Nunez
Maddison to miss majority of season with torn ACL
Transfer news: Al-Hilal agree fee with Liverpool for Nunez; Maddison suffers ACL injury
Ballon d'Or 2025: Nominees set to be announced
Business
Trump-Modi ties hit rock bottom with new tariffs on India over Russian oil
Italy gives final approval for world's longest suspension bridge to Sicily
Licences needed for Botox clinics in UK cosmetics crackdown
Apple to invest $100bn after pressure from Trump
Latest audio
In Our Time
Vincent van Gogh (Archive Episode)
Witness History
Brazil’s biggest bank heist
The Documentary Podcast
The engineers: Exploring the human
Business Daily
Singapore at 60: Raffles and the Republic
The Food Chain
The anti-dementia diet
World Business Report
Trump slaps a further 25% tariff on India
Americast
Why has RFK Jr pulled $500m of mRNA vaccine funding?
Football Daily
Man Utd lead race for Benjamin Šeško
Tech
Chinese nationals charged with exporting Nvidia AI chips to China
UK MP becomes first to create himself as an AI bot
'Facial recognition tech mistook me for wanted man'
Why Pac-Man remains a beloved icon
Science & health
"I have complex PTSD, but UK waiting list means I've only seen psychiatrist once in 10 years"
"More than 400 indirect deaths linked to LA wildfires, study suggests"
Could RFK Jr's move to pull mRNA vaccine funding be a huge miscalculation?
Extra-strong nicotine pouches packaged like children's sweets in Scotland
Soulja Boy released after gun charges dropped
Ghanaian star Shatta Wale's luxury car surrendered over alleged link to US crime
Ed Sheeran surprises fans with performance at Irish pub
Propaganda or fair warning? Taiwanese TV show imagines Chinese invasion
Arts
Why the Statue of Liberty is at the heart of a culture war
"Fake or Fortune finds £35 painting is worth £50,000"
'Hiroshima survivor stories were painful to draw'
Artist explores the toxic mining legacy of Zambia's 'black mountains'
Watch
Travel
Ball of a time: The sporty trend reshaping travel
Costa Rica's nine-course meal in the sky
Why your holiday may be getting more expensive
Italy's undercover pizza detectives
World's Table
The 'other' Michelin award travellers should know
Eight cooling foods to beat the heat in Japan
Want Italy's best food? Head to its national parks
Where to get the US's best barbecue
New checks in UK to stop used tyres being sent to furnaces
"France wildfire is 'catastrophe on an unprecedented scale', says PM"
More than 100 missing after flash floods in India
What is net zero and is the UK on track to achieve it?
Video
Corporate earnings soothe investors' worries - 6 Aug 2025
Watch as mischievous bear cub turns house into playground
Explaining how a touchscreen works with a sausage
Building's hard problem: Can concrete go green?
Discover more from the BBC
Sign up to Tech Decoded
Download the BBC app
US Politics Unspun
Register for a BBC account
Sign up for the Essential List
Sign up to News Briefing
Follow BBC on:
